Week,Phase,Topic,Books,GitHub Repos,Free Tools,Deliverable
1-2,Phase 2,Transformer Architecture,"Natural Language Processing with Transformers (Tunstall, von Werra, Wolf); Build a Large Language Model (Sebastian Raschka)",https://github.com/harvardnlp/annotated-transformer; https://github.com/karpathy/nanoGPT,"Hugging Face Transformers, Google Colab, PyTorch",Build transformer from scratch
3-4,Phase 2,GPT Implementation,Build a Large Language Model (Sebastian Raschka),https://github.com/karpathy/minGPT; https://github.com/rasbt/LLMs-from-scratch,"Google Colab, PyTorch, Weights & Biases",Implement GPT-2 model
5-6,Phase 2,LLM Model Families,Hands-On Large Language Models (Alammar, Grootendorst),https://github.com/huggingface/transformers; https://github.com/karpathy/llm.c,"Hugging Face Hub, Kaggle Notebooks",Load and run different LLM architectures
7-8,Phase 2,LoRA Fine-tuning,Fine-Tuning Language Models (O'Reilly),https://github.com/huggingface/peft; https://github.com/microsoft/LoRA,"PEFT Library, Unsloth, Google Colab",Fine-tune LLM with LoRA
9-10,Phase 2,QLoRA & Efficient Fine-tuning,Hands-On Large Language Models,https://github.com/artidoro/qlora; https://github.com/hiyouga/LLaMA-Factory,"QLoRA, Modal Labs, Lightning AI",4-bit quantized fine-tuning
11-12,Phase 2,RLHF & Alignment,Fine-Tuning Language Models,https://github.com/huggingface/trl; https://github.com/OpenAccess-AI-Collective/axolotl,"TRL Library, Hugging Face",Implement DPO/PPO alignment
13-14,Phase 3,Azure OpenAI Service,Azure AI Services at Scale (Lazzeri),https://github.com/Azure-Samples/azure-openai-samples; https://github.com/openai/openai-cookbook,"Azure Free Tier, Azure OpenAI",Build Azure OpenAI chatbot
15-16,Phase 3,Azure AI Studio & Prompt Flow,Applied NLP in Enterprise (Patel),https://github.com/Azure-Samples/azureai-samples; https://github.com/Azure-Samples/azure-search-openai-demo,"Azure AI Studio, Streamlit Cloud",Create Prompt Flow application
17-18,Phase 3,RAG Implementation,Building LLM Applications (Alto),https://github.com/Azure-Samples/azure-search-openai-demo; https://github.com/langchain-ai/langchain,"Azure AI Search, ChromaDB, Hugging Face Spaces",Enterprise RAG chatbot
19-20,Phase 3,Databricks GenAI,Data + AI on Databricks (Databricks),https://github.com/databricks/genai-cookbook; https://github.com/databricks/databricks-ml-examples,"Databricks Community Edition, MLflow",RAG on Databricks
21-22,Phase 3,Vector Search & Embeddings,Building LLM Applications,https://github.com/databricks-industry-solutions/genai-cookbook; https://github.com/databrickslabs/dolly,"Databricks, ChromaDB, Delta Lake",Implement vector search
23-24,Phase 3,LLM Fine-tuning on Databricks,Learning Spark 3rd Edition,https://github.com/databrickslabs/dolly; https://github.com/databricks/databricks-ml-examples,Databricks Community Edition,Fine-tune on Databricks
25-26,Phase 4,Advanced Prompt Engineering,Prompt Engineering for LLMs (Berryman),https://github.com/openai/openai-cookbook; https://github.com/langchain-ai/langchain,"LangChain, OpenAI API",Prompt engineering patterns
27-28,Phase 4,RAG Advanced Techniques,Building LLM Applications,https://github.com/NirDiamant/RAG_Techniques; https://github.com/run-llama/llama_index,"LlamaIndex, LangChain, Qdrant",Advanced RAG system
29-30,Phase 4,Multimodal AI,Hands-On Large Language Models,https://github.com/Azure-Samples/azure-openai-samples; https://github.com/openai/openai-cookbook,"GPT-4 Vision, Azure AI",Vision-language application
31-32,Phase 4,LLM Evaluation & Safety,Evaluating Machine Learning Models (Zheng); Trustworthy ML (Varshney),https://github.com/confident-ai/deepeval; https://github.com/explodinggradients/ragas; https://github.com/openai/evals,"DeepEval, RAGAS, LangSmith",Evaluation framework
