Week,Phase,Topic,Books,GitHub Repos,Free Tools,Deliverable
1-2,Phase 2,Azure ML Workspace,Introducing MLOps (Treveil); Practical MLOps (Gift, Deza),https://github.com/Azure/azureml-examples; https://github.com/Azure/azureml-examples/tree/main/sdk/python,"Azure Free Tier, Azure ML, VS Code",Configure Azure ML workspace
3-4,Phase 2,Azure ML Compute & Data,Designing Machine Learning Systems (Huyen),https://github.com/Azure/azureml-examples/tree/main/sdk/python/jobs; https://github.com/microsoft/MLOps,"Azure ML, Docker Desktop",Data pipelines on Azure ML
5-6,Phase 2,Azure ML Pipelines,Practical MLOps,https://github.com/Azure/azureml-examples/tree/main/sdk/python/jobs/pipelines; https://github.com/Azure/mlops-v2,"Azure ML, GitHub Actions",Build ML pipeline
7-8,Phase 2,Model Management with MLflow,Introducing MLOps,https://github.com/Azure/azureml-examples; https://github.com/mlflow/mlflow/tree/master/examples,"MLflow, Azure ML",Track experiments & register models
9-10,Phase 2,Model Deployment Azure,Machine Learning Systems (Smith),https://github.com/Azure/azureml-examples/tree/main/sdk/python/endpoints; https://github.com/Azure-Samples/mlops-model-deployment,"Azure ML, Azure Container Instances",Deploy real-time endpoint
11-12,Phase 2,Azure DevOps Pipelines,Learning Azure DevOps (Soni); CD with Azure DevOps (Rossberg),https://github.com/microsoft/MLOpsPython; https://github.com/microsoft/azure-pipelines-yaml,"Azure DevOps (free 5 users), GitHub Actions",CI/CD for ML with Azure DevOps
13-14,Phase 2,Build & Release Pipelines,Continuous Delivery with Azure DevOps,https://github.com/Azure-Samples/MLOpsManufacturing; https://github.com/Azure/mlops-templates,"Azure Pipelines, GitHub",Automated ML deployment
15-16,Phase 2,Batch & A/B Testing,Kubernetes for ML (O'Reilly),https://github.com/Azure/azureml-examples/tree/main/sdk/python/endpoints/batch; https://github.com/Azure-Samples/aks-ml-deployment,"Kubernetes (minikube), Kind",Batch scoring & A/B test
17-18,Phase 3,Databricks MLflow,The Big Book of MLOps (Databricks); Data + AI Lakehouse,https://github.com/databricks/mlops-stack; https://github.com/databricks/mlflow-examples,"Databricks Community Edition, MLflow, Delta Lake",MLflow on Databricks
19-20,Phase 3,Unity Catalog for ML,Databricks Documentation,https://github.com/databricks-demos/unity-catalog-ml; https://github.com/databricks/databricks-ml-examples,"Databricks, Unity Catalog OSS, Apache Spark",Governance with Unity Catalog
21-22,Phase 3,Databricks Workflows,The Big Book of MLOps,https://github.com/databricks/mlops-stack; https://github.com/databricks/databricks-ml-examples,"Databricks, Delta Lake",Orchestrate ML workflows
23-24,Phase 3,Feature Store,Feature Engineering for ML (Zheng, Casari); Feature Store for ML (Dowling),https://github.com/databricks/databricks-ml-examples/tree/master/feature-store; https://github.com/feast-dev/feast,"Databricks, Feast, Redis, PostgreSQL",Implement feature store
25-26,Phase 3,Databricks CI/CD,Modern DevOps Practices (Agarwal); Infrastructure as Code (Morris),https://github.com/databricks/terraform-provider-databricks; https://github.com/databricks/databricks-cli,"Terraform, Databricks CLI, GitHub Actions",IaC for Databricks
27-28,Phase 3,Databricks Asset Bundles,Databricks Documentation,https://github.com/databricks/bundle-examples; https://github.com/databricks/mlops-with-dabs,"Databricks, Git, GitHub Actions",Deploy with DABs
29-30,Phase 4,Model Monitoring,Machine Learning Monitoring (Arize AI); Reliable ML (Chen),https://github.com/Azure/azureml-examples/tree/main/sdk/python/responsible-ai; https://github.com/evidentlyai/evidently,"Evidently, Great Expectations, Prometheus, Grafana",Drift detection system
31-32,Phase 4,Data Quality & Observability,Reliable Machine Learning,https://github.com/great-expectations/great_expectations; https://github.com/whylabs/whylogs,"Great Expectations, WhyLabs, Prometheus",Data validation pipeline
33-34,Phase 4,Advanced Feature Engineering,Feature Engineering for Machine Learning,https://github.com/feast-dev/feast; https://github.com/feathr-ai/feathr,"Feast, Feathr, Redis",Online/offline feature serving
35-36,Phase 4,Responsible AI & Governance,Trustworthy ML (Varshney); Interpretable ML (Molnar),https://github.com/Azure/responsible-ai-toolbox; https://github.com/fairlearn/fairlearn; https://github.com/interpretml/interpret; https://github.com/slundberg/shap,"Fairlearn, InterpretML, SHAP, LIME",Fairness & explainability dashboard
